A股代码,A股简称,A股上市日期
600806,*ST昆机,1/3/1994
600807,天业股份,1/3/1994
600808,马钢股份,1/6/1994
600809,山西汾酒,1/6/1994
600810,神马股份,1/6/1994
600811,东方集团,1/6/1994
600812,华北制药,1/14/1994
600814,杭州解百,1/14/1994
600815,厦工股份,1/28/1994
600816,安信信托,1/28/1994
600817,*ST宏盛,1/28/1994
600818,中路股份,1/28/1994
600819,耀皮玻璃,1/28/1994
600820,隧道股份,1/28/1994
600821,津劝业,1/28/1994
600822,上海物贸,2/4/1994
600823,世茂股份,2/4/1994
600824,益民集团,2/4/1994
600825,新华传媒,2/4/1994
600826,兰生股份,2/4/1994
600827,百联股份,2/4/1994
600828,茂业商业,2/24/1994
600829,人民同泰,2/24/1994
600830,香溢融通,2/24/1994
600831,广电网络,2/24/1994
600833,第一医药,2/24/1994
600834,申通地铁,2/24/1994
600835,上海机电,2/24/1994
600836,界龙实业,2/24/1994
600837,海通证券,2/24/1994
600838,上海九百,2/24/1994
600839,四川长虹,3/11/1994
600841,上柴股份,3/11/1994
600843,上工申贝,3/11/1994
600844,丹化科技,3/11/1994
600845,宝信软件,3/11/1994
600846,同济科技,3/11/1994
600847,万里股份,3/24/1994
600848,上海临港,3/24/1994
600850,华东电脑,3/24/1994
600851,海欣股份,4/4/1994
600853,龙建股份,4/4/1994
600854,春兰股份,4/25/1994
600855,航天长峰,4/25/1994
600856,中天能源,4/25/1994
600857,宁波中百,4/25/1994
600858,银座股份,5/6/1994
600859,王府井,5/6/1994
600860,京城股份,5/6/1994
600861,北京城乡,5/20/1994
600862,中航高科,5/20/1994
600863,内蒙华电,5/20/1994
600864,哈投股份,8/9/1994
600865,百大集团,8/9/1994
600866,*ST星湖,8/18/1994
600867,通化东宝,8/24/1994
600868,梅雁吉祥,9/12/1994
600869,智慧能源,2/6/1995
600870,厦华电子,2/28/1995
600871,石化油服,4/11/1995
600872,中炬高新,1/24/1995
600873,梅花生物,2/17/1995
600874,创业环保,6/30/1995
600875,东方电气,10/10/1995
600876,洛阳玻璃,10/31/1995
600877,中国嘉陵,10/13/1995
600879,航天电子,11/15/1995
600880,博瑞传播,11/15/1995
600881,亚泰集团,11/15/1995
600882,广泽股份,12/6/1995
600883,博闻科技,12/8/1995
600884,杉杉股份,1/30/1996
600885,宏发股份,2/5/1996
600886,国投电力,1/18/1996
600887,伊利股份,3/12/1996
600888,新疆众和,2/15/1996
600889,南京化纤,3/8/1996
600890,中房股份,3/18/1996
600891,秋林集团,3/25/1996
600892,大晟文化,3/15/1996
600893,中航动力,4/8/1996
600894,广日股份,3/28/1996
600895,张江高科,4/22/1996
600896,览海投资,5/3/1996
600897,厦门空港,5/31/1996
600898,三联商社,4/18/1996
600900,长江电力,11/18/2003
600908,无锡银行,9/23/2016
600909,华安证券,12/6/2016
600917,重庆燃气,9/30/2014
600919,江苏银行,8/2/2016
600926,杭州银行,10/27/2016
600936,广西广电,8/15/2016
600958,东方证券,3/23/2015
600959,江苏有线,4/28/2015
600960,渤海活塞,4/7/2004
600961,株冶集团,8/30/2004
600962,国投中鲁,6/22/2004
600963,岳阳林纸,5/25/2004
600965,福成股份,7/13/2004
600966,博汇纸业,6/8/2004
600967,北方创业,5/18/2004
600969,郴电国际,4/8/2004
600970,中材国际,4/12/2005
600971,恒源煤电,8/17/2004
600973,宝胜股份,8/2/2004
600975,新五丰,6/9/2004
600976,健民集团,4/19/2004
600977,中国电影,8/9/2016
600978,宜华生活,8/24/2004
600979,广安爱众,9/6/2004
600980,北矿科技,5/12/2004
600981,汇鸿集团,6/30/2004
600982,宁波热电,7/6/2004
600983,惠而浦,7/27/2004
600984,建设机械,7/7/2004
600985,雷鸣科化,4/28/2004
600986,科达股份,4/26/2004
600987,航民股份,8/9/2004
600988,赤峰黄金,4/14/2004
600990,四创电子,5/10/2004
600992,贵绳股份,5/14/2004
600993,马应龙,5/17/2004
600995,文山电力,6/15/2004
600996,贵广网络,-
600997,开滦股份,6/2/2004
600998,九州通,11/2/2010
600999,招商证券,11/17/2009
601000,唐山港,7/5/2010
601001,大同煤业,6/23/2006
601002,晋亿实业,1/26/2007
601003,柳钢股份,2/27/2007
601005,重庆钢铁,2/28/2007
601006,大秦铁路,8/1/2006
601007,金陵饭店,4/6/2007
601008,连云港,4/26/2007
601009,南京银行,7/19/2007
601010,文峰股份,6/3/2011
601011,宝泰隆,3/9/2011
601012,隆基股份,4/11/2012
601015,陕西黑猫,11/5/2014
601016,节能风电,9/29/2014
601018,宁波港,9/28/2010
601020,华钰矿业,3/16/2016
601021,春秋航空,1/21/2015
601028,玉龙股份,11/7/2011
601038,一拖股份,8/8/2012
601058,赛轮金宇,6/30/2011
601069,西部黄金,1/22/2015
601088,中国神华,10/9/2007
601098,中南传媒,10/28/2010
601099,太平洋,12/28/2007
601100,恒立液压,10/28/2011
601101,昊华能源,3/31/2010
601106,中国一重,2/9/2010
601107,四川成渝,7/27/2009
601111,中国国航,8/18/2006
601113,华鼎股份,5/9/2011
601116,三江购物,3/2/2011
601117,中国化学,1/7/2010
601118,海南橡胶,1/7/2011
601126,四方股份,12/31/2010
601127,小康股份,6/15/2016
601128,常熟银行,9/30/2016
601137,博威合金,1/27/2011
601139,深圳燃气,12/25/2009
601155,新城控股,12/4/2015
601158,重庆水务,3/29/2010
601163,三角轮胎,9/9/2016
601166,兴业银行,2/5/2007
601168,西部矿业,7/12/2007
601169,北京银行,9/19/2007
601177,杭齿前进,10/11/2010
601179,中国西电,1/28/2010
601186,中国铁建,3/10/2008
601188,龙江交通,3/19/2010
601198,东兴证券,2/26/2015
601199,江南水务,3/17/2011
601208,东材科技,5/20/2011
601211,国泰君安,6/26/2015
601216,君正集团,2/22/2011
601218,吉鑫科技,5/6/2011
601222,林洋能源,8/8/2011
601225,陕西煤业,1/28/2014
601226,华电重工,12/11/2014
601229,上海银行,11/16/2016
601231,环旭电子,2/20/2012
601233,桐昆股份,5/18/2011
601238,广汽集团,3/29/2012
601258,庞大集团,4/28/2011
601288,农业银行,7/15/2010
601311,骆驼股份,6/2/2011
601313,江南嘉捷,1/16/2012
601318,中国平安,3/1/2007
601328,交通银行,5/15/2007
601333,广深铁路,12/22/2006
601336,新华保险,12/16/2011
601339,百隆东方,6/12/2012
601368,绿城水务,6/12/2015
