A股代码,A股简称,A股上市日期
000895,双汇发展,1998-12-10
000897,津滨发展,1999-04-22
000898,鞍钢股份,1997-12-25
000899,赣能股份,1997-11-26
000900,现代投资,1999-01-28
000901,航天科技,1999-04-01
000902,新洋丰,1999-04-08
000903,云内动力,1999-04-15
000905,厦门港务,1999-04-29
000906,浙商中拓,1999-07-07
000908,景峰医药,1999-02-03
000909,数源科技,1999-05-07
000910,大亚圣象,1999-06-30
000911,南宁糖业,1999-05-27
000912,泸天化,1999-06-03
000913,钱江摩托,1999-05-14
000915,山大华特,1999-06-09
000916,华北高速,1999-09-27
000917,电广传媒,1999-03-25
000918,嘉凯城,1999-07-20
000919,金陵药业,1999-11-18
000920,南方汇通,1999-06-16
000921,海信科龙,1999-07-13
000922,*ST佳电,1999-06-18
000923,河北宣工,1999-07-14
000925,众合科技,1999-06-11
000926,福星股份,1999-06-18
000927,一汽夏利,1999-07-27
000928,中钢国际,1999-03-12
000929,兰州黄河,1999-06-23
000930,中粮生化,1999-07-12
000931,中 关 村,1999-07-12
000932,*ST华菱,1999-08-03
000933,神火股份,1999-08-31
000935,四川双马,1999-08-24
000936,华西股份,1999-08-10
000937,冀中能源,1999-09-09
000938,紫光股份,1999-11-04
000939,凯迪生态,1999-09-23
000948,南天信息,1999-10-14
000949,新乡化纤,1999-10-21
000950,*ST建峰,1999-09-16
000951,中国重汽,1999-11-25
000952,广济药业,1999-11-12
000953,*ST河化,1999-12-02
000955,欣龙控股,1999-12-09
000957,中通客车,2000-01-13
000958,东方能源,1999-12-23
000959,首钢股份,1999-12-16
000960,锡业股份,2000-02-21
000961,中南建设,2000-03-01
000962,东方钽业,2000-01-20
000963,华东医药,2000-01-27
000965,天保基建,2000-04-06
000966,长源电力,2000-03-16
000967,盈峰环境,2000-03-30
000968,蓝焰控股,2000-06-22
000969,安泰科技,2000-05-29
000970,中科三环,2000-04-20
000971,高升控股,2000-04-27
000972,*ST中基,2000-09-26
000973,佛塑科技,2000-05-25
000975,银泰资源,2000-06-08
000976,春晖股份,2000-06-01
000977,浪潮信息,2000-06-08
000978,桂林旅游,2000-05-18
000979,中弘股份,2000-06-16
000980,众泰汽车,2000-06-16
000981,银亿股份,2000-06-22
000982,*ST 中绒,2000-07-06
000983,西山煤电,2000-07-26
000985,大庆华科,2000-07-26
000987,越秀金控,2000-07-18
000988,华工科技,2000-06-08
000989,九 芝 堂,2000-06-28
000990,诚志股份,2000-07-06
000993,闽东电力,2000-07-31
000995,皇台酒业,2000-08-07
000996,中国中期,2000-07-18
000997,新 大 陆,2000-08-07
000998,隆平高科,2000-12-11
000999,华润三九,2000-03-09
001696,宗申动力,1997-03-06
001896,豫能控股,1998-01-22
001979,招商蛇口,2015-12-30
002001,新 和 成,2004-06-25
002002,鸿达兴业,2004-06-25
002003,伟星股份,2004-06-25
002004,华邦健康,2004-06-25
002005,德豪润达,2004-06-25
002006,精功科技,2004-06-25
002007,华兰生物,2004-06-25
002008,大族激光,2004-06-25
002009,天奇股份,2004-06-29
002010,传化智联,2004-06-29
002011,盾安环境,2004-07-05
002012,凯恩股份,2004-07-05
002013,中航机电,2004-07-05
002014,永新股份,2004-07-08
002015,霞客环保,2004-07-08
002016,世荣兆业,2004-07-08
002017,东信和平,2004-07-13
002018,华信国际,2004-07-13
002019,亿帆医药,2004-07-13
002020,京新药业,2004-07-15
002021,中捷资源,2004-07-15
002022,科华生物,2004-07-21
002023,海特高新,2004-07-21
002024,苏宁云商,2004-07-21
002025,航天电器,2004-07-26
002026,山东威达,2004-07-27
002027,分众传媒,2004-08-04
002028,思源电气,2004-08-05
002029,七 匹 狼,2004-08-06
002030,达安基因,2004-08-09
002031,巨轮智能,2004-08-16
002032,苏 泊 尔,2004-08-17
002033,丽江旅游,2004-08-25
002034,美 欣 达,2004-08-26
002035,华帝股份,2004-09-01
002036,联创电子,2004-09-03
002037,久联发展,2004-09-08
002038,双鹭药业,2004-09-09
002039,黔源电力,2005-03-03
002040,南 京 港,2005-03-25
002041,登海种业,2005-04-18
002042,华孚色纺,2005-04-27
002043,兔 宝 宝,2005-05-10
002044,美年健康,2005-05-18
002045,国光电器,2005-05-23
002046,轴研科技,2005-05-26
002047,宝鹰股份,2005-05-31
002048,宁波华翔,2005-06-03
002049,紫光国芯,2005-06-06
002050,三花智控,2005-06-07
002051,中工国际,2006-06-19
002052,同洲电子,2006-06-27
002053,云南能投,2006-06-27
002054,德美化工,2006-07-25
002055,得润电子,2006-07-25
002056,横店东磁,2006-08-02
002057,中钢天源,2006-08-02
002058,威 尔 泰,2006-08-02
002059,云南旅游,2006-08-10
002060,粤 水 电,2006-08-10
002061,江山化工,2006-08-16
002062,宏润建设,2006-08-16
002063,远光软件,2006-08-23
002064,华峰氨纶,2006-08-23
002065,东华软件,2006-08-23
002066,瑞泰科技,2006-08-23
002067,景兴纸业,2006-09-15
002068,黑猫股份,2006-09-15
002069,獐子岛,2006-09-28
002070,*ST众和,2006-10-12
002071,长城影视,2006-10-12
002072,凯瑞德,2006-10-18
002073,软控股份,2006-10-18
002074,国轩高科,2006-10-18
002075,沙钢股份,2006-10-25
002076,雪 莱 特,2006-10-25
002077,大港股份,2006-11-16
002078,太阳纸业,2006-11-16
002079,苏州固锝,2006-11-16
002080,中材科技,2006-11-20
002081,金 螳 螂,2006-11-20
002082,栋梁新材,2006-11-20
002083,孚日股份,2006-11-24
002084,海鸥卫浴,2006-11-24
002085,万丰奥威,2006-11-28
002086,东方海洋,2006-11-28
002087,新野纺织,2006-11-30
002088,鲁阳节能,2006-11-30
002089,新 海 宜,2006-11-30
002090,金智科技,2006-12-08
002091,江苏国泰,2006-12-08
002092,中泰化学,2006-12-08
002093,国脉科技,2006-12-15
002094,青岛金王,2006-12-15
002095,生 意 宝,2006-12-15
002096,南岭民爆,2006-12-22
002097,山河智能,2006-12-22
002098,浔兴股份,2006-12-22
002099,海翔药业,2006-12-26
002100,天康生物,2006-12-26
002101,广东鸿图,2006-12-29
002102,冠福股份,2006-12-29
002103,广博股份,2007-01-10
002104,恒宝股份,2007-01-10
002105,信隆健康,2007-01-12
002106,莱宝高科,2007-01-12
002107,沃华医药,2007-01-24
002108,沧州明珠,2007-01-24
002109,兴化股份,2007-01-26
002110,三钢闽光,2007-01-26
002111,威海广泰,2007-01-26
002112,三变科技,2007-02-08
002113,天润数娱,2007-02-08
002114,罗平锌电,2007-02-15
002115,三维通信,2007-02-15
002116,中国海诚,2007-02-15
002117,东港股份,2007-03-02
002118,紫鑫药业,2007-03-02
002119,康强电子,2007-03-02
002120,韵达股份,2007-03-06
002121,科陆电子,2007-03-06
002122,天马股份,2007-03-28
002123,梦网集团,2007-03-28
002124,天邦股份,2007-04-03
002125,湘潭电化,2007-04-03
002126,银轮股份,2007-04-18
002127,南极电商,2007-04-18
002128,露天煤业,2007-04-18
002129,中环股份,2007-04-20
002130,沃尔核材,2007-04-20
002131,利欧股份,2007-04-27
002132,恒星科技,2007-04-27
002133,广宇集团,2007-04-27
002134,*ST普林,2007-05-16
002135,东南网架,2007-05-30
002136,安 纳 达,2007-05-30
002137,麦达数字,2007-06-13
002138,顺络电子,2007-06-13
002139,拓邦股份,2007-06-29
002140,东华科技,2007-07-12
002141,贤丰控股,2007-07-20
002142,宁波银行,2007-07-19
002143,印纪传媒,2007-07-20
002144,宏达高科,2007-08-03
002145,中核钛白,2007-08-03
002146,荣盛发展,2007-08-08
002147,新光圆成,2007-08-08
002148,北纬科技,2007-08-10
002149,西部材料,2007-08-10
002150,通润装备,2007-08-10
002151,北斗星通,2007-08-13
002152,广电运通,2007-08-13
002153,石基信息,2007-08-13
002154,报 喜 鸟,2007-08-16
002155,湖南黄金,2007-08-16
002156,通富微电,2007-08-16
002157,正邦科技,2007-08-17
002158,汉钟精机,2007-08-17
002159,三特索道,2007-08-17
002160,常铝股份,2007-08-21
002161,远 望 谷,2007-08-21
002162,悦心健康,2007-08-23
002163,中航三鑫,2007-08-23
002164,宁波东力,2007-08-23
002165,红 宝 丽,2007-09-13
002166,莱茵生物,2007-09-13
002167,东方锆业,2007-09-13
002168,深圳惠程,2007-09-19
002169,智光电气,2007-09-19
002170,芭田股份,2007-09-19
002171,楚江新材,2007-09-21
002172,澳洋科技,2007-09-21
002173,创新医疗,2007-09-25
002174,游族网络,2007-09-25
002175,东方网络,2007-10-12
002176,江特电机,2007-10-12
002177,御银股份,2007-11-01
002178,延华智能,2007-11-01
002179,中航光电,2007-11-01
002180,纳思达,2007-11-13
002181,粤 传 媒,2007-11-16
002182,云海金属,2007-11-13
002183,怡 亚 通,2007-11-13
002184,海得控制,2007-11-16
002185,华天科技,2007-11-20
002186,全 聚 德,2007-11-20
002187,广百股份,2007-11-22
002188,巴士在线,2007-11-22
002189,利达光电,2007-12-03
002190,成飞集成,2007-12-03
002191,劲嘉股份,2007-12-05
002192,融捷股份,2007-12-05
002193,如意集团,2007-12-07
002194,武汉凡谷,2007-12-07
002195,二三四五,2007-12-12
002196,方正电机,2007-12-12
002197,证通电子,2007-12-18
002198,嘉应制药,2007-12-18
002199,东晶电子,2007-12-21
